////////////////////////////////////////////////////////////////////////////////
// Localization file (i18n).													//
// Write only in UTF-8 charset!!!												//
//																				//
// $Id:: Stringtable.csv 121 2009-03-24 00:25:33Z ist						$:	//
////////////////////////////////////////////////////////////////////////////////
LANGUAGE,					English,				Russian,					German,											French
// Object names: ///////////////////////////////////////////////////////////////
STR_RHS_INF_CREW,				Crew,					Экипаж,						Besatzung,									Membre d'équipage
STR_RHS_INF_CREW_COMMANDER,		Crew Commander,			Командир Экипажа,			Besatzung Kommandant,						Membre d'équipage Chef de bord
STR_RHS_INF_CREW_ARMORED,		Crew (Armored),			Экипаж (Брон.),				Besatzung (Gepanzert),						Membre d'équipage (Pare éclat)
STR_RHS_INF_CREW_COMBAT,		Crew (Combat),			Экипаж (Разгр.),			Besatzung (Kampf),							Membre d'équipage (Brelage)
STR_RHS_INF_RIFLEMAN,			Rifleman,				Стрелок,					Schütze,									Fusilier
STR_RHS_INF_EFREITOR,			Efreitor,				Eфрейтор,					Gefreiter,									Chef d'équipe
STR_RHS_INF_GRENADIER,			Grenadier,				Гранатомётчик,				Grenadier,									Grenadier
STR_RHS_INF_MACHINEGUNNER,		Machine Gunner,			Пулемётчик,					Maschinengewehrschütze,						Mitrailleur
STR_RHS_INF_MACHINEGUNNER_ASSISTANT,	Machine Gunner Assistant,	Помощник Пулемётчика,	Maschinengewehrschütze Assistent,	Mitrailleur Assistant
STR_RHS_INF_GRENADIER_RPG,		Grenadier (RPG-7V2),	Гранатомётчик (РПГ-7В2),	Grenadier (RPG-7V2),				Grenadier (RPG-7V2)
STR_RHS_INF_GRENADIER_RPG_ASSISTANT,	Grenadier Assistant,	Помощник Гранатомётчика,	Grenadier Assistent,				Grenadier Assistant (RPG)
STR_RHS_INF_MARKSMAN,			Marksman,				Снайпер,					Scharfschütze,								Tireur de précision
STR_RHS_INF_OFFICER_ARMORED,	Officer (Armored),		Офицер(Брон.),				Offizier (Gepanzert),						Officier (Pare éclat)
STR_RHS_INF_OFFICER,			Officer,				Офицер,						Offizier,									Officier
STR_RHS_INF_JUNIOR_SERGEANT,	Junior Sergeant,		Младший Сержант,			Unteroffizier,								Chef de groupe
STR_RHS_INF_SERGEANT,			Sergeant,				Сержант,					Stabsfeldwebel,								Sous-Officier
STR_RHS_INF_ENGINEER,			Engineer,				Инженер,					Ingenieur,									Soldat du génie
STR_RHS_INF_DRIVER,				Driver,					Водитель,					Fahrer,										Conducteur
